PLANIFICACIÓN ANUAL COMPLETA - FÚTBOL FEMENINO 15-16 AÑOS - NIVEL MEDIO-ALTO
,,,,,,,,,,,,
AÑO CORRIDO | Vacaciones: 20 Dic - 04 Ene | Pretemporada: 05-30 Ene | Competencia: 31 Ene | 4 TORNEOS ANUALES,,,,,,,,,,,,
,,,,,,,,,,,,

MACROCICLO,MESOCICLO,PERÍODO,FECHAS,SEMANA,FASE,MICROCICLO,OBJETIVOS,CAPACIDADES FÍSICAS,CAPACIDADES TÉCNICAS,CAPACIDADES TÁCTICAS,CAPACIDADES MENTALES,VOL,INT

========================================,,,,,,,,,,,,
MACROCICLO 1 - TRANSICIÓN + PRETEMPORADA (20 Dic - 30 Ene),,,,,,,,,,,,
========================================,,,,,,,,,,,,

,MESOCICLO 1,TRANSITORIO,20 Dic - 04 Ene,1-2,VACACIONES,MC1-2,"Recuperación completa, Descanso total Navidad/Año Nuevo","Descanso total, Actividades recreativas opcionales","Sin trabajo técnico obligatorio","Sin trabajo táctico","Desconexión total, Tiempo en familia",MUY BAJO,MUY BAJA
,,,20-31 Dic,1,Vacaciones,MC1 - NAVIDAD,"Descanso completo","Actividades libres opcionales, Descanso total","Opcional: toques libres","Sin consignas","Desconexión, Navidad en familia",10%,15%
,,,01-04 Ene,2,Vacaciones,MC2 - AÑO NUEVO,"Preparación mental para retorno","Actividades libres, Preparación para volver","Opcional","Sin consignas","Motivación, Preparación mental retorno",15%,20%

,MESOCICLO 2,PRECOMPETITIVO,05-11 Ene,3,Acumulación 1,MC3,"INICIO PRETEMPORADA - Readaptación","Resistencia aeróbica 60-65% FC, Fuerza general 3 vueltas, Core, Flexibilidad","Repaso técnico: pases, controles, conducción","Rondos 4vs1 5vs2, Posicionamiento básico","Remotivación, Objetivos temporada, Cohesión",55%,50%

,MESOCICLO 3,PRECOMPETITIVO,12-18 Ene,4,Acumulación 2,MC4,"Desarrollo base física y técnica","Fartlek 30min, Fuerza 4 vueltas x15 rep, Intermitente 15/15","Técnica en movimiento, Golpeo, 1vs1, Centros","Pressing, Transiciones, Oleadas 3vs2, 5vs5","Concentración, Trabajo equipo, Comunicación",70%,60%

,MESOCICLO 4,PRECOMPETITIVO,19-25 Ene,5,Transformación,MC5,"Transferencia al fútbol específico","Pliometría, Velocidad 6x20m, Agilidad, Resistencia específica","Técnica alta velocidad, Automatismos, Definición","Modelo juego completo, Pressing 6seg, Balón parado","Toma decisiones, Visualización, Confianza",72%,72%

,MESOCICLO 5,PRECOMPETITIVO,26-30 Ene,6,Realización,MC6,"Tapering pre-competencia (5 días)","Activación neuromuscular, Sprints cortos, Volumen reducido","Automatismos, Balón parado, Precisión","Estrategia rival, Plan de partido","Charla motivacional, Rituales, Mentalidad ganadora",45%,85%

========================================,,,,,,,,,,,,
MACROCICLO 2 - COMPETITIVO TORNEO 1 (31 Ene - 28 Feb),,,,,,,,,,,,
========================================,,,,,,,,,,,,

